factor,off_config,on_config,metric,n_queries,mean_delta_on_minus_off,ci95_lower,ci95_upper,wins_gt_0_01,losses_lt_neg_0_01,ties_abs_le_0_01
hyde,hyde_off__no_decoder_control,hyde_on__no_decoder_control,faithfulness,60,0.0436,-0.0262,0.1153,24,21,15
hyde,hyde_off__no_decoder_control,hyde_on__no_decoder_control,answer_relevancy,60,0.0805,0.011,0.1514,29,15,16
hyde,hyde_off__no_decoder_control,hyde_on__no_decoder_control,context_precision,60,-0.0343,-0.0932,0.0247,17,23,20
hyde,hyde_off__no_decoder_control,hyde_on__no_decoder_control,context_recall,60,0.0,-0.1,0.1,4,4,52
hyde,hyde_off__scd_only,hyde_on__scd_only,faithfulness,57,0.046,-0.0286,0.1233,28,20,9
hyde,hyde_off__scd_only,hyde_on__scd_only,answer_relevancy,60,0.0725,-0.0144,0.161,25,19,16
hyde,hyde_off__scd_only,hyde_on__scd_only,context_precision,60,-0.0208,-0.0761,0.0333,15,18,27
hyde,hyde_off__scd_only,hyde_on__scd_only,context_recall,60,0.0,-0.1,0.1,4,4,52
hyde,hyde_off__cad_only,hyde_on__cad_only,faithfulness,58,0.0224,-0.0391,0.0834,25,25,8
hyde,hyde_off__cad_only,hyde_on__cad_only,answer_relevancy,60,0.029,-0.0559,0.1149,23,22,15
hyde,hyde_off__cad_only,hyde_on__cad_only,context_precision,60,-0.0038,-0.0622,0.0515,19,19,22
hyde,hyde_off__cad_only,hyde_on__cad_only,context_recall,60,-0.0167,-0.1167,0.0833,4,5,51
hyde,hyde_off__cad_scd,hyde_on__cad_scd,faithfulness,60,0.0545,-0.0297,0.1391,27,22,11
hyde,hyde_off__cad_scd,hyde_on__cad_scd,answer_relevancy,60,0.0675,-0.0256,0.1623,23,26,11
hyde,hyde_off__cad_scd,hyde_on__cad_scd,context_precision,60,0.0017,-0.0488,0.0526,17,17,26
hyde,hyde_off__cad_scd,hyde_on__cad_scd,context_recall,60,0.0667,-0.0333,0.1667,7,3,50
