dimension,group,factor,metric,n_queries,mean_delta
paper,Mi:dm K 2.5 Pro Technical Report,HyDE,faithfulness,15,0.0007
paper,Mi:dm K 2.5 Pro Technical Report,HyDE,answer_relevancy,15,0.0994
paper,Mi:dm K 2.5 Pro Technical Report,HyDE,context_precision,15,-0.0145
paper,Mi:dm K 2.5 Pro Technical Report,HyDE,context_recall,15,0.1333
paper,Mi:dm K 2.5 Pro Technical Report,CAD,faithfulness,15,0.0081
paper,Mi:dm K 2.5 Pro Technical Report,CAD,answer_relevancy,15,0.0339
paper,Mi:dm K 2.5 Pro Technical Report,CAD,context_precision,15,0.0
paper,Mi:dm K 2.5 Pro Technical Report,CAD,context_recall,15,0.0
paper,CAD,HyDE,faithfulness,15,-0.0491
paper,CAD,HyDE,answer_relevancy,15,-0.0019
paper,CAD,HyDE,context_precision,15,-0.0823
paper,CAD,HyDE,context_recall,15,-0.0667
paper,CAD,CAD,faithfulness,15,0.0664
paper,CAD,CAD,answer_relevancy,15,-0.0099
paper,CAD,CAD,context_precision,15,-0.0552
paper,CAD,CAD,context_recall,15,-0.0667
paper,RAG Survey,HyDE,faithfulness,15,0.1575
paper,RAG Survey,HyDE,answer_relevancy,15,0.1314
paper,RAG Survey,HyDE,context_precision,15,0.0036
paper,RAG Survey,HyDE,context_recall,15,0.0667
paper,RAG Survey,CAD,faithfulness,13,-0.0416
paper,RAG Survey,CAD,answer_relevancy,15,-0.1004
paper,RAG Survey,CAD,context_precision,15,0.0074
paper,RAG Survey,CAD,context_recall,15,0.0
paper,RAPTOR,HyDE,faithfulness,15,0.0652
paper,RAPTOR,HyDE,answer_relevancy,15,0.093
paper,RAPTOR,HyDE,context_precision,15,-0.0441
paper,RAPTOR,HyDE,context_recall,15,-0.1333
paper,RAPTOR,CAD,faithfulness,15,0.0731
paper,RAPTOR,CAD,answer_relevancy,15,0.047
paper,RAPTOR,CAD,context_precision,15,0.0108
paper,RAPTOR,CAD,context_recall,15,0.0
