"대상 문서","요인","지표","n","평균 변화"
"Mi:dm K 2.5 Pro Technical Report","HyDE","faithfulness","15","0.0007"
"Mi:dm K 2.5 Pro Technical Report","HyDE","answer_relevancy","15","0.0994"
"Mi:dm K 2.5 Pro Technical Report","HyDE","context_precision","15","-0.0145"
"Mi:dm K 2.5 Pro Technical Report","HyDE","context_recall","15","0.1333"
"Mi:dm K 2.5 Pro Technical Report","CAD","faithfulness","15","0.0081"
"Mi:dm K 2.5 Pro Technical Report","CAD","answer_relevancy","15","0.0339"
"Mi:dm K 2.5 Pro Technical Report","CAD","context_precision","15","0"
"Mi:dm K 2.5 Pro Technical Report","CAD","context_recall","15","0"
"CAD","HyDE","faithfulness","15","-0.0491"
"CAD","HyDE","answer_relevancy","15","-0.0019"
"CAD","HyDE","context_precision","15","-0.0823"
"CAD","HyDE","context_recall","15","-0.0667"
"CAD","CAD","faithfulness","15","0.0664"
"CAD","CAD","answer_relevancy","15","-0.0099"
"CAD","CAD","context_precision","15","-0.0552"
"CAD","CAD","context_recall","15","-0.0667"
"RAG Survey","HyDE","faithfulness","15","0.1575"
"RAG Survey","HyDE","answer_relevancy","15","0.1314"
"RAG Survey","HyDE","context_precision","15","0.0036"
"RAG Survey","HyDE","context_recall","15","0.0667"
"RAG Survey","CAD","faithfulness","13","-0.0416"
"RAG Survey","CAD","answer_relevancy","15","-0.1004"
"RAG Survey","CAD","context_precision","15","0.0074"
"RAG Survey","CAD","context_recall","15","0"
"RAPTOR","HyDE","faithfulness","15","0.0652"
"RAPTOR","HyDE","answer_relevancy","15","0.093"
"RAPTOR","HyDE","context_precision","15","-0.0441"
"RAPTOR","HyDE","context_recall","15","-0.1333"
"RAPTOR","CAD","faithfulness","15","0.0731"
"RAPTOR","CAD","answer_relevancy","15","0.047"
"RAPTOR","CAD","context_precision","15","0.0108"
"RAPTOR","CAD","context_recall","15","0"
