factor,off_config,on_config,metric,n_queries,mean_delta_on_minus_off,ci95_lower,ci95_upper,wins_gt_0_01,losses_lt_neg_0_01,ties_abs_le_0_01
cad,hyde_off__no_decoder_control,hyde_off__cad_only,faithfulness,58,0.0288,-0.0367,0.0934,21,24,13
cad,hyde_off__no_decoder_control,hyde_off__cad_only,answer_relevancy,60,-0.0073,-0.0855,0.0719,19,32,9
cad,hyde_off__no_decoder_control,hyde_off__cad_only,context_precision,60,-0.0092,-0.0306,0.0077,4,4,52
cad,hyde_off__no_decoder_control,hyde_off__cad_only,context_recall,60,-0.0167,-0.05,0.0,0,1,59
cad,hyde_off__scd_only,hyde_off__cad_scd,faithfulness,57,0.0001,-0.0719,0.0705,27,21,9
cad,hyde_off__scd_only,hyde_off__cad_scd,answer_relevancy,60,-0.0377,-0.1078,0.0327,20,29,11
cad,hyde_off__scd_only,hyde_off__cad_scd,context_precision,60,-0.0111,-0.0326,0.0061,4,6,50
cad,hyde_off__scd_only,hyde_off__cad_scd,context_recall,60,-0.05,-0.1167,0.0,0,3,57
cad,hyde_on__no_decoder_control,hyde_on__cad_only,faithfulness,60,0.0257,-0.0318,0.084,25,26,9
cad,hyde_on__no_decoder_control,hyde_on__cad_only,answer_relevancy,60,-0.0588,-0.1216,-0.0019,16,32,12
cad,hyde_on__no_decoder_control,hyde_on__cad_only,context_precision,60,0.0212,-0.021,0.0674,15,10,35
cad,hyde_on__no_decoder_control,hyde_on__cad_only,context_recall,60,-0.0333,-0.1333,0.05,3,5,52
cad,hyde_on__scd_only,hyde_on__cad_scd,faithfulness,60,0.009,-0.0436,0.0604,22,23,15
cad,hyde_on__scd_only,hyde_on__cad_scd,answer_relevancy,60,-0.0427,-0.107,0.0197,18,28,14
cad,hyde_on__scd_only,hyde_on__cad_scd,context_precision,60,0.0114,-0.038,0.0645,13,11,36
cad,hyde_on__scd_only,hyde_on__cad_scd,context_recall,60,0.0167,-0.05,0.0833,3,2,55
